sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
1623,"Malignant neoplasm of upper lobe, bronchus or lung",-1,,1.0,4151250,"Malignant neoplasm of upper lobe, bronchus or lung",SNOMED,Condition,S,0,1,Disorder,269464000,20020131,20991231,
43819,"Late effects of cerebrovascular disease, other speech and language deficits",-1,,0.76,40481354,Speech and language deficit as late effect of cerebrovascular accident,SNOMED,Condition,S,3,2,Disorder,441960006,20090731,20991231,
4149,Chronic ischemic heart disease,-1,,1.0,315286,Chronic ischemic heart disease,SNOMED,Condition,S,3,2,Disorder,413838009,20050131,20991231,
0388,Other specified septicemias,-1,,0.52,4000938,Bacterial sepsis,SNOMED,Condition,S,4,1,Disorder,10001005,20020131,20991231,
51919,Other diseases of trachea and bronchus,-1,,0.64,4108877,Congenital malformation of trachea and bronchus,SNOMED,Condition,S,5,3,Disorder,253740007,20020131,20991231,
1625,"Malignant neoplasm of lower lobe, bronchus or lung",-1,,0.94,4157454,"Primary malignant neoplasm of lower lobe, bronchus or lung",SNOMED,Condition,S,2,2,Disorder,372110008,20020731,20991231,
9982,"Accidental puncture or laceration during a procedure, not elsewhere classified",-1,,0.58,4054926,Accidental puncture during a procedure,SNOMED,Condition,S,2,2,Disorder,242992007,20020131,20991231,
2767,Hyperpotassemia,-1,,1.0,434610,Hyperkalemia,SNOMED,Condition,S,9,1,Disorder,14140009,20020131,20991231,
V1011,Personal history of malignant neoplasm of bronchus and lung,-1,,0.78,35610239,Malignant neoplasm of bronchus or lung,SNOMED,Condition,S,0,1,Disorder,1090881000000100,20180401,20991231,
4588,Other specified hypotension,-1,,0.63,317002,Low blood pressure,SNOMED,Condition,S,12,1,Disorder,45007003,20020131,20991231,
V1272,Personal history of colonic polyps,-1,,0.65,4054438,Social / personal history observable,SNOMED,Observation,S,28,1,Observable Entity,160476009,20020131,20991231,
5854,"Chronic kidney disease, Stage IV (severe)",-1,,0.71,443614,Chronic kidney disease stage 1,SNOMED,Condition,S,6,1,Disorder,431855005,20080731,20991231,
E8889, fall,-1,,0.87,436583,Fall,SNOMED,Observation,S,8,1,Event,1912002,20020131,20991231,
2639, protein-calorie malnutrition,-1,,0.99,433163,Deficiency of macronutrients,SNOMED,Condition,S,7,1,Disorder,238107002,20020131,20991231,
03812,Methicillin resistant Staphylococcus aureus septicemia,-1,,0.89,4019195,Methicillin resistant Staphylococcus aureus,SNOMED,Observation,S,2,2,Organism,115329001,20020131,20991231,
E9289, accident,-1,,0.94,440279,Accident,SNOMED,Observation,S,33,1,Event,55566008,20020131,20991231,
78791,Diarrhea,-1,,1.0,196523,Diarrhea,SNOMED,Condition,S,13,1,Clinical Finding,62315008,20020131,20991231,
28984,Heparin-induced thrombocytopenia (HIT),-1,,0.83,433749,Heparin-induced thrombocytopenia,SNOMED,Condition,S,1,2,Disorder,73397007,20020131,20991231,
2720,Pure hypercholesterolemia,-1,,1.0,437827,Pure hypercholesterolemia,SNOMED,Condition,S,0,1,Disorder,267432004,20020131,20991231,
53551," gastritis and gastroduodenitis, with hemorrhage",-1,,0.63,44784282,Chronic antral gastritis with hemorrhage,SNOMED,Condition,S,0,3,Disorder,698352000,20140131,20991231,
78959,Other ascites,-1,,0.75,200528,Ascites,SNOMED,Condition,S,17,2,Disorder,389026000,20030131,20991231,
43411,Cerebral embolism with cerebral infarction,-1,,0.72,43530605,Pulmonary embolism with pulmonary infarction,SNOMED,Condition,S,0,4,Disorder,1001000119102,20130731,20991231,
E8700,"Accidental cut, puncture, perforation or hemorrhage during surgical operation",-1,,0.47,439218,Accidental puncture during medical care,SNOMED,Condition,S,0,1,Disorder,242991000,20020131,20991231,
70714,Ulcer of heel and midfoot,-1,,0.8,46269765,Ulcer of midfoot,SNOMED,Condition,S,6,1,Disorder,10662511000119101,20150731,20991231,
99664,Infection and inflammatory reaction due to indwelling urinary catheter,-1,,0.81,43021343,Infection and inflammation associated with indwelling urinary catheter,SNOMED,Condition,S,0,2,Disorder,473092007,20130131,20991231,
311,"Depressive disorder, not elsewhere classified",-1,,0.5,440383,Depressive disorder,SNOMED,Condition,S,38,1,Disorder,35489007,20020131,20991231,
48241,Methicillin susceptible pneumonia due to Staphylococcus aureus,-1,,0.84,46274035,Pneumonia caused by methicillin susceptible Staphylococcus aureus,SNOMED,Condition,S,1,2,Disorder,128711000119106,20150731,20991231,
3484,Compression of brain,-1,,1.0,377550,Compression of brain,SNOMED,Condition,S,13,1,Disorder,46963008,20020131,20991231,
E9331,Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,-1,,0.54,36712750,Immunodeficiency caused by long term therapeutic use of drug,SNOMED,Condition,S,1,1,Disorder,10838971000119103,20170131,20991231,
193,Malignant neoplasm of thyroid gland,-1,,0.91,133424,Primary malignant neoplasm of thyroid gland,SNOMED,Condition,S,7,3,Disorder,94098005,20020131,20991231,
27739,Other amyloidosis,-1,,0.87,4047607,AL amyloidosis,SNOMED,Condition,S,4,2,Disorder,23132008,20020131,20991231,
4270,Paroxysmal supraventricular tachycardia,-1,,1.0,317893,Paroxysmal supraventricular tachycardia,SNOMED,Condition,S,5,2,Disorder,67198005,20020131,20991231,
20020,"Burkitt's tumor or lymphoma site, extranodal and solid organ sites",-1,,0.65,4041800,Burkitt's lymphoma (clinical),SNOMED,Condition,S,9,1,Disorder,118617000,20020131,20991231,
43811,"Late effects of cerebrovascular disease, aphasia",-1,,0.85,434056,Late effects of cerebrovascular disease,SNOMED,Condition,S,19,1,Disorder,195239002,20020131,20991231,
261,Nutritional marasmus,-1,,1.0,440370,Nutritional marasmus,SNOMED,Condition,S,0,2,Disorder,29740003,20020131,20991231,
25002,"Diabetes mellitus without mention of complication, type II or  type, uncontrolled",-1,,0.72,4193704,Type 2 diabetes mellitus without complication,SNOMED,Condition,S,1,2,Disorder,313436004,20020131,20991231,
30393,"Other and  alcohol dependence, in remission",-1,,0.71,435243,Alcohol dependence,SNOMED,Condition,S,6,2,Disorder,66590003,20020131,20991231,
72400,Spinal stenosis region,-1,,0.76,77079,Spinal stenosis,SNOMED,Condition,S,12,1,Disorder,76107001,20020131,20991231,
2530,Acromegaly and gigantism,-1,,1.0,28403,Gigantism and acromegaly,SNOMED,Condition,S,0,2,Disorder,267386008,20020131,20991231,
43882,"Other late effects of cerebrovascular disease, dysphagia",-1,,0.78,434056,Late effects of cerebrovascular disease,SNOMED,Condition,S,19,1,Disorder,195239002,20020131,20991231,
78722,"Dysphagia, oropharyngeal phase",-1,,0.77,440530,Oropharyngeal dysphagia,SNOMED,Condition,S,1,2,Disorder,71457002,20020131,20991231,
34830,Encephalopathy,-1,,1.0,372887,Disorder of brain,SNOMED,Condition,S,144,3,Disorder,81308009,20020131,20991231,
78720,Dysphagia,-1,,1.0,31317,Dysphagia,SNOMED,Condition,S,14,1,Disorder,40739000,20020131,20991231,
V4983,Awaiting organ transplant status,-1,,0.81,37205026,Awaiting transplantation,SNOMED,Observation,S,7,1,Context-dependent,784243001,20190731,20991231,
27652,Hypovolemia,-1,,1.0,37311319,Hypovolemia,SNOMED,Condition,S,2,1,Clinical Finding,816082000,20200131,20991231,
5780,Hematemesis,-1,,1.0,26727,Hematemesis,SNOMED,Condition,S,5,2,Disorder,8765009,20020131,20991231,
43889,Other late effects of cerebrovascular disease,-1,,0.94,434056,Late effects of cerebrovascular disease,SNOMED,Condition,S,19,1,Disorder,195239002,20020131,20991231,
42843,Acute on chronic combined systolic and diastolic heart failure,-1,,1.0,44782733,Acute on chronic combined systolic and diastolic heart failure,SNOMED,Condition,S,0,4,Disorder,153951000119103,20140131,20991231,
V4501,Cardiac pacemaker in situ,-1,,0.93,40481373,No cardiac pacemaker in situ,SNOMED,Observation,S,0,1,Context-dependent,441977006,20090731,20991231,
7994,Cachexia,-1,,1.0,134765,Cachexia,SNOMED,Condition,S,3,1,Clinical Finding,238108007,20020131,20991231,
5772,Cyst and pseudocyst of pancreas,-1,,1.0,192360,Cyst and pseudocyst of pancreas,SNOMED,Condition,S,0,2,Disorder,197464001,20020131,20991231,
5960,Bladder neck obstruction,-1,,1.0,433813,Obstruction of neck of urinary bladder,SNOMED,Condition,S,2,1,Disorder,399072004,20030731,20991231,
412,Old myocardial infarction,-1,,1.0,314666,Old myocardial infarction,SNOMED,Condition,S,10,1,Disorder,1755008,20020131,20991231,
2739, disorder of plasma protein metabolism,-1,,0.99,45770886,Disorder of plasma protein metabolism,SNOMED,Condition,S,0,1,Disorder,147211000119101,20150131,20991231,
2762,Acidosis,-1,,1.0,435517,Acidosis,SNOMED,Condition,S,7,1,Disorder,51387008,20020131,20991231,
2753,Disorders of phosphorus metabolism,-1,,0.92,435788,Disorder of phosphorus metabolism,SNOMED,Condition,S,6,1,Disorder,87049008,20020131,20991231,
7868,Hiccough,-1,,1.0,194475,Hiccoughs,SNOMED,Condition,S,2,2,Clinical Finding,65958008,20020131,20991231,
53081,Esophageal reflux,-1,,1.0,4091509,Esophageal reflux finding,SNOMED,Condition,S,4,2,Clinical Finding,249496004,20020131,20991231,
3310,Alzheimer's disease,-1,,1.0,378419,Alzheimer's disease,SNOMED,Condition,S,13,2,Disorder,26929004,20020131,20991231,
5761,Cholangitis,-1,,1.0,195856,Cholangitis,SNOMED,Condition,S,20,3,Disorder,82403002,20020131,20991231,
80501,Closed fracture of first cervical vertebra,-1,,1.0,78579,Closed fracture of first cervical vertebra,SNOMED,Condition,S,2,2,Disorder,269063003,20020131,20991231,
59582,Irradiation cystitis,-1,,1.0,201353,Irradiation cystitis,SNOMED,Condition,S,4,3,Disorder,11251000,20020131,20991231,
1570,Malignant neoplasm of head of pancreas,-1,,0.91,440649,Primary malignant neoplasm of head of pancreas,SNOMED,Condition,S,2,2,Disorder,372119009,20020731,20991231,
27788,Tumor lysis syndrome,-1,,1.0,4079687,Tumor lysis syndrome,SNOMED,Condition,S,0,1,Disorder,277605001,20020131,20991231,
07044,Chronic hepatitis C with hepatic coma,-1,,1.0,763021,Chronic viral hepatitis C with hepatic coma,SNOMED,Condition,S,0,7,Disorder,435101000124104,20130901,20991231,
4531,Thrombophlebitis migrans,-1,,1.0,439838,Thrombophlebitis migrans,SNOMED,Condition,S,0,3,Disorder,31268005,20020131,20991231,
04182,Bacteroides fragilis,-1,,1.0,4208525,Bacteroides fragilis,SNOMED,Observation,S,2,1,Organism,55247009,20020131,20991231,
5641,Irritable bowel syndrome,-1,,1.0,75576,Irritable bowel syndrome,SNOMED,Condition,S,4,2,Disorder,10743008,20020131,20991231,
78552,Septic shock,-1,,1.0,196236,Septic shock,SNOMED,Condition,S,21,2,Disorder,76571007,20020131,20991231,
3320,Paralysis agitans,-1,,1.0,381270,Parkinson's disease,SNOMED,Condition,S,8,2,Disorder,49049000,20020131,20991231,
75321,Congenital obstruction of ureteropelvic junction,-1,,1.0,441961,Congenital obstruction of ureteropelvic junction,SNOMED,Condition,S,1,4,Disorder,373584008,20020731,20991231,
29041,"Vascular dementia, with delirium",-1,,1.0,444091,Multi-infarct dementia with delirium,SNOMED,Condition,S,0,2,Disorder,10349009,20020131,20991231,
2811,Other vitamin B12 deficiency anemia,-1,,0.93,432588,Megaloblastic anemia due to vitamin B-12 deficiency,SNOMED,Condition,S,9,3,Disorder,49472006,20020131,20991231,
4370,Cerebral atherosclerosis,-1,,1.0,316437,Cerebral atherosclerosis,SNOMED,Condition,S,1,2,Disorder,55382008,20020131,20991231,
5119, pleural effusion,-1,,0.98,254061,Pleural effusion,SNOMED,Condition,S,17,1,Disorder,60046008,20020131,20991231,
V8801,Acquired absence of both cervix and uterus,-1,,0.92,36716935,Acquired absence of cervix and uterus,SNOMED,Condition,S,0,1,Disorder,723171001,20170131,20991231,
42821,Acute systolic heart failure,-1,,1.0,40480603,Acute systolic heart failure,SNOMED,Condition,S,2,2,Disorder,443254009,20100131,20991231,
80502,Closed fracture of second cervical vertebra,-1,,1.0,433329,Closed fracture of second cervical vertebra,SNOMED,Condition,S,5,2,Disorder,269064009,20020131,20991231,
7213,Lumbosacral spondylosis without myelopathy,-1,,1.0,80813,Lumbosacral spondylosis without myelopathy,SNOMED,Condition,S,3,3,Disorder,48210000,20020131,20991231,
5602,Volvulus,-1,,1.0,197603,Intestinal volvulus,SNOMED,Condition,S,3,2,Disorder,9707006,20020131,20991231,
2721,Pure hyperglyceridemia,-1,,1.0,440360,Pure hyperglyceridemia,SNOMED,Condition,S,0,1,Disorder,267433009,20020131,20991231,
2764,Mixed acid-base balance disorder,-1,,1.0,441536,Mixed acid-base balance disorder,SNOMED,Condition,S,2,1,Disorder,76220009,20020131,20991231,
4589,Hypotension,-1,,1.0,317002,Low blood pressure,SNOMED,Condition,S,12,1,Disorder,45007003,20020131,20991231,
53084,Tracheoesophageal fistula,-1,,1.0,25582,Tracheoesophageal fistula,SNOMED,Condition,S,3,2,Disorder,95435007,20020131,20991231,
V1588,History of fall,-1,,0.93,3966505,History of Falls,LOINC,Observation,S,0,3,Clinical Observation,101440-6,20230815,20991231,
7991,Respiratory arrest,-1,,1.0,317109,Respiratory arrest,SNOMED,Condition,S,4,1,Disorder,87317003,20020131,20991231,
29181,Alcohol withdrawal,-1,,1.0,375519,Alcohol withdrawal,SNOMED,Condition,S,1,1,Disorder,191480000,20020131,20991231,
1629,Malignant neoplasm of bronchus and lung,-1,,0.92,35610239,Malignant neoplasm of bronchus or lung,SNOMED,Condition,S,0,1,Disorder,1090881000000100,20180401,20991231,
2380,Neoplasm of uncertain behavior of bone and articular cartilage,-1,,1.0,36716624,Neoplasm of uncertain behavior of bone and articular cartilage,SNOMED,Condition,S,21,2,Disorder,722694005,20170131,20991231,
42732,Atrial flutter,-1,,1.0,314665,Atrial flutter,SNOMED,Condition,S,5,1,Disorder,5370000,20020131,20991231,
35782,Critical illness polyneuropathy,-1,,1.0,374032,Critical illness polyneuropathy,SNOMED,Condition,S,0,1,Disorder,230594005,20020131,20991231,
4142,Chronic total occlusion of coronary artery,-1,,1.0,36712779,Chronic total occlusion of coronary artery,SNOMED,Condition,S,0,2,Disorder,117051000119103,20170131,20991231,
99731,Ventilator associated pneumonia,-1,,1.0,259992,Ventilator associated pneumonia,SNOMED,Condition,S,0,3,Disorder,429271009,20080131,20991231,
37000,Corneal ulcer,-1,,1.0,373202,Corneal ulcer,SNOMED,Condition,S,15,2,Disorder,91514001,20020131,20991231,
37230,Conjunctivitis,-1,,1.0,379019,Conjunctivitis,SNOMED,Condition,S,24,4,Disorder,9826008,20020131,20991231,
78820,Retention of urine,-1,,1.0,192450,Retention of urine,SNOMED,Condition,S,8,1,Disorder,267064002,20020131,20991231,
4011,Benign essential hypertension,-1,,1.0,312648,Benign essential hypertension,SNOMED,Condition,S,1,2,Disorder,1201005,20020131,20991231,
3510,Bell's palsy,-1,,1.0,374923,Bell's palsy,SNOMED,Condition,S,3,3,Disorder,193093009,20020131,20991231,
2851,Acute posthemorrhagic anemia,-1,,1.0,434894,Acute posthemorrhagic anemia,SNOMED,Condition,S,2,2,Disorder,267530009,20020131,20991231,
29040,"Vascular dementia, uncomplicated",-1,,1.0,377254,"Multi-infarct dementia, uncomplicated",SNOMED,Condition,S,0,1,Disorder,70936005,20020131,20991231,
27542,Hypercalcemia,-1,,1.0,435511,Hypercalcemia,SNOMED,Condition,S,19,2,Disorder,66931009,20020131,20991231,
6039,Hydrocele,-1,,1.0,4298084,Hydrocele,SNOMED,Observation,S,0,1,Morph Abnormality,386152007,20030131,20991231,
4233,Cardiac tamponade,-1,,1.0,318450,Cardiac tamponade,SNOMED,Condition,S,1,2,Disorder,35304003,20020131,20991231,
60490,Orchitis and epididymitis,-1,,1.0,78193,Orchitis and epididymitis,SNOMED,Condition,S,5,3,Disorder,197983000,20020131,20991231,
81249,Other closed fracture of lower end of humerus,-1,,0.93,440228,Closed fracture of lower end of humerus,SNOMED,Condition,S,8,3,Disorder,269080004,20020131,20991231,
27801,Morbid obesity,-1,,1.0,434005,Morbid obesity,SNOMED,Condition,S,3,1,Disorder,238136002,20020131,20991231,
28731,Immune thrombocytopenic purpura,-1,,0.92,318397,Chronic idiopathic thrombocytopenic purpura,SNOMED,Condition,S,0,6,Disorder,13172003,20020131,20991231,
5601,Paralytic ileus,-1,,1.0,192357,Paralytic ileus,SNOMED,Condition,S,4,1,Disorder,55525008,20020131,20991231,
33385,Subacute dyskinesia due to drugs,-1,,0.74,43531604,Subacute dyskinesia caused by drug,SNOMED,Condition,S,1,1,Disorder,98811000119103,20130731,20991231,
2839,Acquired hemolytic anemia,-1,,1.0,440979,Acquired hemolytic anemia,SNOMED,Condition,S,14,1,Disorder,4854004,20020131,20991231,
28803,Drug induced neutropenia,-1,,1.0,432289,Drug-induced neutropenia,SNOMED,Condition,S,3,2,Disorder,47318007,20020131,20991231,
4439,Peripheral vascular disease,-1,,1.0,321052,Peripheral vascular disease,SNOMED,Condition,S,9,1,Disorder,400047006,20030731,20991231,
4019, essential hypertension,-1,,0.96,320128,Essential hypertension,SNOMED,Condition,S,8,1,Disorder,59621000,20020131,20991231,
78060,Fever,-1,,1.0,437663,Fever,SNOMED,Condition,S,36,1,Clinical Finding,386661006,20030131,20991231,
79902,Hypoxemia,-1,,1.0,437390,Hypoxemia,SNOMED,Condition,S,8,1,Disorder,389087006,20030131,20991231,
42823,Acute on chronic systolic heart failure,-1,,1.0,40480602,Acute on chronic systolic heart failure,SNOMED,Condition,S,1,3,Disorder,443253003,20100131,20991231,
51881,Acute respiratory failure,-1,,1.0,319049,Acute respiratory failure,SNOMED,Condition,S,4,2,Disorder,65710008,20020131,20991231,
340,Multiple sclerosis,-1,,1.0,374919,Multiple sclerosis,SNOMED,Condition,S,12,3,Disorder,24700007,20020131,20991231,
37410,Ectropion,-1,,1.0,4133291,Ectropion,SNOMED,Observation,S,0,1,Morph Abnormality,127559009,20020131,20991231,
70720,Pressure ulcer stage,-1,,0.95,37160747,Pressure injury stage I,SNOMED,Condition,S,12,2,Disorder,1163217004,20210930,20991231,
5770,Acute pancreatitis,-1,,1.0,199074,Acute pancreatitis,SNOMED,Condition,S,15,3,Disorder,197456007,20020131,20991231,
2989, psychosis,-1,,0.94,436073,Psychotic disorder,SNOMED,Condition,S,31,1,Disorder,69322001,20020131,20991231,
5781,Blood in stool,-1,,1.0,443530,Hematochezia,SNOMED,Condition,S,1,2,Clinical Finding,405729008,20040131,20991231,
3659, glaucoma,-1,,0.95,437541,Glaucoma,SNOMED,Condition,S,22,1,Disorder,23986001,20020131,20991231,
42831,Acute diastolic heart failure,-1,,1.0,40481042,Acute diastolic heart failure,SNOMED,Condition,S,2,2,Disorder,443343001,20100131,20991231,
42822,Chronic systolic heart failure,-1,,1.0,40479192,Chronic systolic heart failure,SNOMED,Condition,S,2,2,Disorder,441481004,20090731,20991231,
5722,Hepatic encephalopathy,-1,,1.0,4029488,Hepatic encephalopathy,SNOMED,Condition,S,4,2,Disorder,13920009,20020131,20991231,
41401,Coronary atherosclerosis of native coronary artery,-1,,0.98,40481919,Coronary atherosclerosis,SNOMED,Condition,S,5,2,Disorder,443502000,20100131,20991231,
45182,Phlebitis and thrombophlebitis of superficial veins of upper extremities,-1,,0.97,433218,Thrombophlebitis of superficial veins of upper extremities,SNOMED,Condition,S,4,3,Disorder,95451004,20020131,20991231,
7823,Edema,-1,,1.0,4196943,Edema,SNOMED,Observation,S,23,1,Morph Abnormality,79654002,20020131,20991231,
2749,Gout,-1,,1.0,440674,Gout,SNOMED,Condition,S,13,4,Disorder,90560007,20020131,20991231,
99592,Severe sepsis,-1,,1.0,37394658,Severe sepsis,SNOMED,Condition,S,0,1,Disorder,1036671000000106,20160401,20991231,
7140,Rheumatoid arthritis,-1,,1.0,80809,Rheumatoid arthritis,SNOMED,Condition,S,28,2,Disorder,69896004,20020131,20991231,
5711,Acute alcoholic hepatitis,-1,,1.0,201343,Acute alcoholic liver disease,SNOMED,Condition,S,1,2,Disorder,9953008,20020131,20991231,
570,Acute and subacute necrosis of liver,-1,,0.94,4059280,Subacute hepatic necrosis,SNOMED,Condition,S,1,2,Disorder,197274000,20020131,20991231,
431,Intracerebral hemorrhage,-1,,1.0,376713,Cerebral hemorrhage,SNOMED,Condition,S,18,2,Disorder,274100004,20020131,20991231,
E9290,Late effects of motor vehicle accident,-1,,0.92,438329,Late effect of motor vehicle accident,SNOMED,Condition,S,0,1,Disorder,218247007,20020131,20991231,
V0254,Carrier or suspected carrier of Methicillin resistant Staphylococcus aureus,-1,,0.98,37117097,Suspected carrier of methicillin resistant staphylococcus aureus,SNOMED,Observation,S,0,1,Context-dependent,126421000119107,20170731,20991231,
1539,Malignant neoplasm of colon site,-1,,0.92,4180790,Malignant tumor of colon,SNOMED,Condition,S,14,2,Disorder,363406005,20020131,20991231,
28522,Anemia in neoplastic disease,-1,,1.0,441258,Anemia in neoplastic disease,SNOMED,Condition,S,2,1,Disorder,191265009,20020131,20991231,
4010,Malignant essential hypertension,-1,,1.0,317898,Malignant essential hypertension,SNOMED,Condition,S,0,2,Disorder,78975002,20020131,20991231,
42652,Right bundle branch block and left anterior fascicular block,-1,,1.0,316432,Right bundle branch block AND left anterior fascicular block,SNOMED,Condition,S,1,3,Disorder,30667004,20020131,20991231,
9584,Traumatic shock,-1,,1.0,201478,Traumatic shock,SNOMED,Condition,S,0,2,Disorder,64169002,20020131,20991231,
4275,Cardiac arrest,-1,,1.0,321042,Cardiac arrest,SNOMED,Condition,S,21,1,Disorder,410429000,20040731,20991231,
2875,Thrombocytopenia,-1,,1.0,432870,Thrombocytopenic disorder,SNOMED,Condition,S,27,4,Disorder,302215000,20020131,20991231,
2867,Acquired coagulation factor deficiency,-1,,1.0,432863,Acquired coagulation factor deficiency,SNOMED,Condition,S,12,2,Disorder,25904003,20020131,20991231,
2859,Anemia,-1,,1.0,439777,Anemia,SNOMED,Condition,S,53,1,Disorder,271737000,20020131,20991231,
2768,Hypopotassemia,-1,,1.0,437833,Hypokalemia,SNOMED,Condition,S,11,1,Disorder,43339004,20020131,20991231,
4471,Stricture of artery,-1,,1.0,317305,Stricture of artery,SNOMED,Condition,S,3,1,Disorder,68109007,20020131,20991231,
7861,Stridor,-1,,1.0,253321,Stridor,SNOMED,Condition,S,7,2,Clinical Finding,70407001,20020131,20991231,
34400,Quadriplegia,-1,,1.0,374914,Tetraplegia,SNOMED,Condition,S,5,2,Disorder,11538006,20020131,20991231,
78551,Cardiogenic shock,-1,,1.0,198571,Cardiogenic shock,SNOMED,Condition,S,1,3,Disorder,89138009,20020131,20991231,
30000,Anxiety state,-1,,1.0,4113821,Anxiety state,SNOMED,Condition,S,3,1,Clinical Finding,198288003,20020131,20991231,
59970,Hematuria,-1,,1.0,437038,Blood in urine,SNOMED,Observation,S,3,1,Clinical Finding,34436003,20020131,20991231,
2752,Disorders of magnesium metabolism,-1,,0.92,438725,Disorder of magnesium metabolism,SNOMED,Condition,S,0,2,Disorder,60853003,20020131,20991231,
5989,Urethral stricture,-1,,1.0,195590,Urethral stricture,SNOMED,Condition,S,15,1,Disorder,76618002,20020131,20991231,
5859,Chronic kidney disease,-1,,1.0,46271022,Chronic kidney disease,SNOMED,Condition,S,15,2,Disorder,709044004,20150731,20991231,
53642,Mechanical complication of gastrostomy,-1,,1.0,45757473,Mechanical complication of gastrostomy,SNOMED,Condition,S,0,3,Disorder,147881000119108,20150131,20991231,
3441,Paraplegia,-1,,1.0,192606,Paraplegia,SNOMED,Condition,S,11,2,Disorder,60389000,20020131,20991231,
28860,Leukocytosis,-1,,1.0,438398,Leukocytosis,SNOMED,Condition,S,7,3,Disorder,111583006,20020131,20991231,
78001,Coma,-1,,1.0,380834,Coma,SNOMED,Condition,S,17,2,Disorder,371632003,20020731,20991231,
2689, vitamin D deficiency,-1,,0.98,436070,Vitamin D deficiency,SNOMED,Condition,S,3,2,Disorder,34713006,20020131,20991231,
514,Pulmonary congestion and hypostasis,-1,,1.0,438791,Pulmonary congestion and hypostasis,SNOMED,Condition,S,0,1,Disorder,196115007,20020131,20991231,
81201,Closed fracture of surgical neck of humerus,-1,,1.0,440853,Closed fracture of surgical neck of humerus,SNOMED,Condition,S,2,2,Disorder,73244003,20020131,20991231,
